purchase_category_encode	purchase_category
0	Gas Station
4	Retail
0	Gas Station
4	Retail
1	Groceries
0	Gas Station
4	Retail
1	Groceries
4	Retail
1	Groceries
2	Online Shopping
1	Groceries
3	Restaurant
5	Travel
0	Gas Station
4	Retail
3	Restaurant
2	Online Shopping
2	Online Shopping
4	Retail
4	Retail
1	Groceries
2	Online Shopping
1	Groceries
1	Groceries
5	Travel
3	Restaurant
5	Travel
4	Retail
0	Gas Station
1	Groceries
1	Groceries
3	Restaurant
2	Online Shopping
1	Groceries
0	Gas Station
3	Restaurant
3	Restaurant
1	Groceries
2	Online Shopping
5	Travel
1	Groceries
0	Gas Station
1	Groceries
0	Gas Station
3	Restaurant
4	Retail
5	Travel
4	Retail
1	Groceries
3	Restaurant
5	Travel
1	Groceries
4	Retail
4	Retail
3	Restaurant
1	Groceries
1	Groceries
4	Retail
0	Gas Station
4	Retail
0	Gas Station
1	Groceries
0	Gas Station
5	Travel
4	Retail
1	Groceries
3	Restaurant
2	Online Shopping
0	Gas Station
2	Online Shopping
5	Travel
2	Online Shopping
2	Online Shopping
5	Travel
2	Online Shopping
0	Gas Station
1	Groceries
4	Retail
1	Groceries
4	Retail
2	Online Shopping
1	Groceries
0	Gas Station
5	Travel
3	Restaurant
4	Retail
0	Gas Station
0	Gas Station
1	Groceries
2	Online Shopping
3	Restaurant
4	Retail
1	Groceries
2	Online Shopping
2	Online Shopping
5	Travel
0	Gas Station
3	Restaurant
0	Gas Station
4	Retail
3	Restaurant
5	Travel
5	Travel
4	Retail
5	Travel
0	Gas Station
5	Travel
2	Online Shopping
2	Online Shopping
0	Gas Station
0	Gas Station
4	Retail
0	Gas Station
3	Restaurant
3	Restaurant
4	Retail
0	Gas Station
1	Groceries
4	Retail
0	Gas Station
5	Travel
3	Restaurant
0	Gas Station
5	Travel
2	Online Shopping
3	Restaurant
1	Groceries
0	Gas Station
3	Restaurant
4	Retail
0	Gas Station
3	Restaurant
4	Retail
3	Restaurant
2	Online Shopping
0	Gas Station
3	Restaurant
5	Travel
3	Restaurant
5	Travel
0	Gas Station
1	Groceries
5	Travel
3	Restaurant
4	Retail
4	Retail
4	Retail
2	Online Shopping
3	Restaurant
1	Groceries
0	Gas Station
2	Online Shopping
5	Travel
0	Gas Station
0	Gas Station
2	Online Shopping
1	Groceries
1	Groceries
3	Restaurant
2	Online Shopping
5	Travel
5	Travel
5	Travel
3	Restaurant
4	Retail
1	Groceries
1	Groceries
3	Restaurant
0	Gas Station
1	Groceries
5	Travel
4	Retail
5	Travel
1	Groceries
1	Groceries
2	Online Shopping
1	Groceries
3	Restaurant
3	Restaurant
3	Restaurant
5	Travel
0	Gas Station
3	Restaurant
3	Restaurant
5	Travel
4	Retail
1	Groceries
5	Travel
4	Retail
2	Online Shopping
0	Gas Station
3	Restaurant
0	Gas Station
1	Groceries
3	Restaurant
3	Restaurant
2	Online Shopping
2	Online Shopping
2	Online Shopping
1	Groceries
1	Groceries
0	Gas Station
2	Online Shopping
2	Online Shopping
5	Travel
2	Online Shopping
0	Gas Station
1	Groceries
0	Gas Station
4	Retail
2	Online Shopping
3	Restaurant
4	Retail
2	Online Shopping
1	Groceries
0	Gas Station
4	Retail
2	Online Shopping
2	Online Shopping
1	Groceries
2	Online Shopping
2	Online Shopping
0	Gas Station
3	Restaurant
4	Retail
0	Gas Station
5	Travel
0	Gas Station
4	Retail
2	Online Shopping
1	Groceries
2	Online Shopping
5	Travel
1	Groceries
1	Groceries
0	Gas Station
5	Travel
4	Retail
2	Online Shopping
2	Online Shopping
3	Restaurant
0	Gas Station
4	Retail
1	Groceries
2	Online Shopping
4	Retail
3	Restaurant
5	Travel
5	Travel
3	Restaurant
3	Restaurant
3	Restaurant
4	Retail
5	Travel
5	Travel
1	Groceries
0	Gas Station
4	Retail
0	Gas Station
3	Restaurant
2	Online Shopping
3	Restaurant
4	Retail
5	Travel
3	Restaurant
5	Travel
0	Gas Station
3	Restaurant
0	Gas Station
3	Restaurant
4	Retail
5	Travel
3	Restaurant
0	Gas Station
1	Groceries
1	Groceries
0	Gas Station
1	Groceries
3	Restaurant
5	Travel
2	Online Shopping
4	Retail
5	Travel
1	Groceries
1	Groceries
0	Gas Station
1	Groceries
3	Restaurant
4	Retail
4	Retail
5	Travel
2	Online Shopping
3	Restaurant
0	Gas Station
5	Travel
2	Online Shopping
1	Groceries
2	Online Shopping
0	Gas Station
1	Groceries
0	Gas Station
5	Travel
4	Retail
3	Restaurant
0	Gas Station
3	Restaurant
2	Online Shopping
4	Retail
2	Online Shopping
4	Retail
5	Travel
3	Restaurant
1	Groceries
3	Restaurant
5	Travel
5	Travel
4	Retail
2	Online Shopping
3	Restaurant
0	Gas Station
1	Groceries
4	Retail
2	Online Shopping
1	Groceries
2	Online Shopping
4	Retail
4	Retail
0	Gas Station
5	Travel
3	Restaurant
3	Restaurant
2	Online Shopping
1	Groceries
5	Travel
4	Retail
3	Restaurant
2	Online Shopping
5	Travel
0	Gas Station
2	Online Shopping
4	Retail
1	Groceries
2	Online Shopping
3	Restaurant
4	Retail
0	Gas Station
0	Gas Station
5	Travel
0	Gas Station
0	Gas Station
2	Online Shopping
3	Restaurant
3	Restaurant
0	Gas Station
3	Restaurant
1	Groceries
2	Online Shopping
0	Gas Station
0	Gas Station
5	Travel
2	Online Shopping
0	Gas Station
0	Gas Station
4	Retail
2	Online Shopping
5	Travel
2	Online Shopping
0	Gas Station
5	Travel
4	Retail
0	Gas Station
2	Online Shopping
3	Restaurant
4	Retail
4	Retail
0	Gas Station
0	Gas Station
0	Gas Station
0	Gas Station
2	Online Shopping
3	Restaurant
5	Travel
3	Restaurant
5	Travel
2	Online Shopping
1	Groceries
1	Groceries
4	Retail
2	Online Shopping
5	Travel
2	Online Shopping
0	Gas Station
3	Restaurant
3	Restaurant
3	Restaurant
2	Online Shopping
3	Restaurant
2	Online Shopping
5	Travel
2	Online Shopping
4	Retail
2	Online Shopping
4	Retail
0	Gas Station
5	Travel
3	Restaurant
5	Travel
3	Restaurant
0	Gas Station
5	Travel
0	Gas Station
5	Travel
1	Groceries
3	Restaurant
0	Gas Station
3	Restaurant
2	Online Shopping
3	Restaurant
5	Travel
1	Groceries
1	Groceries
2	Online Shopping
5	Travel
3	Restaurant
3	Restaurant
4	Retail
4	Retail
5	Travel
3	Restaurant
2	Online Shopping
3	Restaurant
1	Groceries
2	Online Shopping
2	Online Shopping
4	Retail
4	Retail
5	Travel
3	Restaurant
2	Online Shopping
1	Groceries
2	Online Shopping
2	Online Shopping
0	Gas Station
0	Gas Station
0	Gas Station
4	Retail
0	Gas Station
4	Retail
3	Restaurant
1	Groceries
2	Online Shopping
0	Gas Station
1	Groceries
4	Retail
4	Retail
0	Gas Station
3	Restaurant
3	Restaurant
2	Online Shopping
1	Groceries
4	Retail
2	Online Shopping
5	Travel
3	Restaurant
5	Travel
2	Online Shopping
4	Retail
2	Online Shopping
5	Travel
2	Online Shopping
5	Travel
3	Restaurant
0	Gas Station
1	Groceries
1	Groceries
1	Groceries
2	Online Shopping
3	Restaurant
3	Restaurant
5	Travel
0	Gas Station
1	Groceries
0	Gas Station
0	Gas Station
1	Groceries
5	Travel
1	Groceries
1	Groceries
5	Travel
4	Retail
3	Restaurant
0	Gas Station
1	Groceries
5	Travel
1	Groceries
3	Restaurant
3	Restaurant
0	Gas Station
3	Restaurant
0	Gas Station
5	Travel
1	Groceries
0	Gas Station
5	Travel
1	Groceries
5	Travel
4	Retail
2	Online Shopping
2	Online Shopping
2	Online Shopping
3	Restaurant
1	Groceries
3	Restaurant
2	Online Shopping
0	Gas Station
2	Online Shopping
5	Travel
4	Retail
4	Retail
0	Gas Station
4	Retail
4	Retail
1	Groceries
0	Gas Station
4	Retail
4	Retail
4	Retail
4	Retail
1	Groceries
1	Groceries
5	Travel
2	Online Shopping
2	Online Shopping
2	Online Shopping
4	Retail
2	Online Shopping
0	Gas Station
4	Retail
0	Gas Station
5	Travel
0	Gas Station
2	Online Shopping
3	Restaurant
3	Restaurant
5	Travel
0	Gas Station
5	Travel
0	Gas Station
4	Retail
2	Online Shopping
1	Groceries
2	Online Shopping
5	Travel
2	Online Shopping
2	Online Shopping
3	Restaurant
4	Retail
1	Groceries
5	Travel
0	Gas Station
3	Restaurant
1	Groceries
3	Restaurant
4	Retail
4	Retail
1	Groceries
1	Groceries
0	Gas Station
4	Retail
3	Restaurant
1	Groceries
3	Restaurant
1	Groceries
2	Online Shopping
3	Restaurant
0	Gas Station
1	Groceries
2	Online Shopping
4	Retail
0	Gas Station
2	Online Shopping
2	Online Shopping
5	Travel
2	Online Shopping
4	Retail
2	Online Shopping
1	Groceries
3	Restaurant
1	Groceries
0	Gas Station
1	Groceries
1	Groceries
0	Gas Station
4	Retail
4	Retail
5	Travel
4	Retail
2	Online Shopping
5	Travel
4	Retail
4	Retail
2	Online Shopping
2	Online Shopping
3	Restaurant
3	Restaurant
2	Online Shopping
4	Retail
0	Gas Station
1	Groceries
3	Restaurant
0	Gas Station
2	Online Shopping
3	Restaurant
0	Gas Station
4	Retail
2	Online Shopping
5	Travel
3	Restaurant
4	Retail
2	Online Shopping
0	Gas Station
1	Groceries
4	Retail
1	Groceries
1	Groceries
1	Groceries
4	Retail
3	Restaurant
5	Travel
1	Groceries
3	Restaurant
0	Gas Station
2	Online Shopping
2	Online Shopping
1	Groceries
4	Retail
2	Online Shopping
3	Restaurant
4	Retail
5	Travel
4	Retail
5	Travel
1	Groceries
2	Online Shopping
3	Restaurant
4	Retail
3	Restaurant
4	Retail
2	Online Shopping
3	Restaurant
0	Gas Station
5	Travel
5	Travel
2	Online Shopping
5	Travel
2	Online Shopping
0	Gas Station
5	Travel
0	Gas Station
0	Gas Station
1	Groceries
1	Groceries
0	Gas Station
5	Travel
2	Online Shopping
5	Travel
1	Groceries
5	Travel
1	Groceries
2	Online Shopping
0	Gas Station
2	Online Shopping
4	Retail
1	Groceries
0	Gas Station
3	Restaurant
5	Travel
0	Gas Station
2	Online Shopping
1	Groceries
3	Restaurant
3	Restaurant
3	Restaurant
5	Travel
5	Travel
4	Retail
4	Retail
1	Groceries
4	Retail
5	Travel
0	Gas Station
5	Travel
0	Gas Station
4	Retail
3	Restaurant
5	Travel
0	Gas Station
5	Travel
0	Gas Station
3	Restaurant
1	Groceries
3	Restaurant
1	Groceries
3	Restaurant
0	Gas Station
3	Restaurant
1	Groceries
4	Retail
4	Retail
0	Gas Station
2	Online Shopping
3	Restaurant
3	Restaurant
0	Gas Station
5	Travel
2	Online Shopping
4	Retail
3	Restaurant
0	Gas Station
3	Restaurant
3	Restaurant
3	Restaurant
5	Travel
5	Travel
0	Gas Station
0	Gas Station
4	Retail
3	Restaurant
3	Restaurant
1	Groceries
4	Retail
4	Retail
1	Groceries
4	Retail
5	Travel
1	Groceries
0	Gas Station
0	Gas Station
5	Travel
2	Online Shopping
4	Retail
5	Travel
2	Online Shopping
4	Retail
1	Groceries
5	Travel
5	Travel
2	Online Shopping
4	Retail
3	Restaurant
1	Groceries
4	Retail
1	Groceries
4	Retail
4	Retail
4	Retail
3	Restaurant
2	Online Shopping
0	Gas Station
2	Online Shopping
0	Gas Station
2	Online Shopping
3	Restaurant
1	Groceries
4	Retail
4	Retail
4	Retail
0	Gas Station
3	Restaurant
0	Gas Station
2	Online Shopping
3	Restaurant
3	Restaurant
1	Groceries
3	Restaurant
5	Travel
3	Restaurant
5	Travel
2	Online Shopping
5	Travel
0	Gas Station
2	Online Shopping
1	Groceries
1	Groceries
1	Groceries
0	Gas Station
4	Retail
5	Travel
5	Travel
3	Restaurant
3	Restaurant
3	Restaurant
4	Retail
2	Online Shopping
4	Retail
4	Retail
3	Restaurant
2	Online Shopping
2	Online Shopping
1	Groceries
0	Gas Station
5	Travel
1	Groceries
0	Gas Station
1	Groceries
5	Travel
5	Travel
2	Online Shopping
0	Gas Station
4	Retail
2	Online Shopping
4	Retail
2	Online Shopping
3	Restaurant
5	Travel
0	Gas Station
5	Travel
2	Online Shopping
1	Groceries
5	Travel
1	Groceries
3	Restaurant
0	Gas Station
5	Travel
1	Groceries
0	Gas Station
5	Travel
0	Gas Station
5	Travel
5	Travel
3	Restaurant
4	Retail
2	Online Shopping
3	Restaurant
5	Travel
1	Groceries
4	Retail
3	Restaurant
2	Online Shopping
2	Online Shopping
4	Retail
4	Retail
3	Restaurant
0	Gas Station
1	Groceries
5	Travel
4	Retail
5	Travel
2	Online Shopping
2	Online Shopping
1	Groceries
2	Online Shopping
1	Groceries
1	Groceries
3	Restaurant
3	Restaurant
1	Groceries
0	Gas Station
1	Groceries
2	Online Shopping
5	Travel
3	Restaurant
1	Groceries
0	Gas Station
1	Groceries
1	Groceries
5	Travel
2	Online Shopping
1	Groceries
1	Groceries
3	Restaurant
4	Retail
2	Online Shopping
1	Groceries
3	Restaurant
0	Gas Station
1	Groceries
2	Online Shopping
1	Groceries
5	Travel
5	Travel
5	Travel
1	Groceries
1	Groceries
4	Retail
4	Retail
3	Restaurant
2	Online Shopping
3	Restaurant
2	Online Shopping
2	Online Shopping
3	Restaurant
4	Retail
1	Groceries
0	Gas Station
4	Retail
0	Gas Station
3	Restaurant
5	Travel
3	Restaurant
4	Retail
0	Gas Station
3	Restaurant
5	Travel
1	Groceries
4	Retail
1	Groceries
0	Gas Station
2	Online Shopping
4	Retail
4	Retail
4	Retail
5	Travel
4	Retail
3	Restaurant
3	Restaurant
1	Groceries
1	Groceries
4	Retail
3	Restaurant
4	Retail
0	Gas Station
0	Gas Station
4	Retail
0	Gas Station
0	Gas Station
1	Groceries
3	Restaurant
4	Retail
5	Travel
0	Gas Station
2	Online Shopping
5	Travel
4	Retail
4	Retail
5	Travel
0	Gas Station
2	Online Shopping
2	Online Shopping
0	Gas Station
3	Restaurant
5	Travel
0	Gas Station
2	Online Shopping
3	Restaurant
3	Restaurant
0	Gas Station
5	Travel
3	Restaurant
1	Groceries
1	Groceries
3	Restaurant
1	Groceries
2	Online Shopping
2	Online Shopping
2	Online Shopping
0	Gas Station
3	Restaurant
2	Online Shopping
3	Restaurant
3	Restaurant
5	Travel
2	Online Shopping
3	Restaurant
3	Restaurant
1	Groceries
0	Gas Station
1	Groceries
2	Online Shopping
2	Online Shopping
3	Restaurant
4	Retail
4	Retail
0	Gas Station
1	Groceries
1	Groceries
3	Restaurant
1	Groceries
5	Travel
2	Online Shopping
2	Online Shopping
3	Restaurant
0	Gas Station
3	Restaurant
1	Groceries
1	Groceries
1	Groceries
4	Retail
2	Online Shopping
2	Online Shopping
4	Retail
0	Gas Station
3	Restaurant
1	Groceries
1	Groceries
0	Gas Station
4	Retail
3	Restaurant
0	Gas Station
0	Gas Station
2	Online Shopping
4	Retail
5	Travel
3	Restaurant
1	Groceries
5	Travel
4	Retail
5	Travel
5	Travel
1	Groceries
5	Travel
3	Restaurant
2	Online Shopping
2	Online Shopping
2	Online Shopping
0	Gas Station
1	Groceries
4	Retail
1	Groceries
3	Restaurant
4	Retail
3	Restaurant
0	Gas Station
1	Groceries
0	Gas Station
2	Online Shopping
5	Travel
1	Groceries
2	Online Shopping
1	Groceries
1	Groceries
4	Retail
2	Online Shopping
3	Restaurant
5	Travel
3	Restaurant
1	Groceries
1	Groceries
5	Travel
2	Online Shopping
1	Groceries
5	Travel
3	Restaurant
2	Online Shopping
2	Online Shopping
5	Travel
2	Online Shopping
1	Groceries
4	Retail
5	Travel
2	Online Shopping
3	Restaurant
0	Gas Station
3	Restaurant
0	Gas Station
1	Groceries
2	Online Shopping
2	Online Shopping
3	Restaurant
3	Restaurant
5	Travel
2	Online Shopping
0	Gas Station
0	Gas Station
4	Retail
3	Restaurant
5	Travel
5	Travel
0	Gas Station
0	Gas Station
2	Online Shopping
1	Groceries
5	Travel
4	Retail
5	Travel
1	Groceries
5	Travel
2	Online Shopping
0	Gas Station
3	Restaurant
0	Gas Station
4	Retail
3	Restaurant
5	Travel
5	Travel
5	Travel
5	Travel
3	Restaurant
5	Travel
1	Groceries
0	Gas Station
0	Gas Station
5	Travel
1	Groceries
2	Online Shopping
0	Gas Station
2	Online Shopping
2	Online Shopping
4	Retail
0	Gas Station
4	Retail
2	Online Shopping
3	Restaurant
4	Retail
3	Restaurant
2	Online Shopping
4	Retail
4	Retail
5	Travel
3	Restaurant
3	Restaurant
3	Restaurant
4	Retail
4	Retail
2	Online Shopping
3	Restaurant
0	Gas Station
5	Travel
0	Gas Station
4	Retail
0	Gas Station
0	Gas Station
2	Online Shopping
0	Gas Station
2	Online Shopping
4	Retail
4	Retail
3	Restaurant
0	Gas Station
0	Gas Station
0	Gas Station
4	Retail
4	Retail
2	Online Shopping
4	Retail
5	Travel
0	Gas Station
2	Online Shopping
1	Groceries
0	Gas Station
2	Online Shopping
4	Retail
4	Retail
5	Travel
1	Groceries
2	Online Shopping
0	Gas Station
1	Groceries
5	Travel
4	Retail
3	Restaurant
2	Online Shopping
1	Groceries
5	Travel
3	Restaurant
1	Groceries
4	Retail
2	Online Shopping
4	Retail
3	Restaurant
5	Travel
4	Retail
4	Retail
2	Online Shopping
0	Gas Station
2	Online Shopping
2	Online Shopping
0	Gas Station
4	Retail
3	Restaurant
3	Restaurant
1	Groceries
3	Restaurant
1	Groceries
2	Online Shopping
0	Gas Station
1	Groceries
5	Travel
4	Retail
0	Gas Station
3	Restaurant
5	Travel
2	Online Shopping
4	Retail
0	Gas Station
5	Travel
4	Retail
5	Travel
1	Groceries
5	Travel
1	Groceries
1	Groceries
2	Online Shopping
5	Travel
4	Retail
4	Retail
5	Travel
2	Online Shopping
1	Groceries
1	Groceries
3	Restaurant
2	Online Shopping
3	Restaurant
0	Gas Station
1	Groceries
4	Retail
1	Groceries
1	Groceries
4	Retail
1	Groceries
3	Restaurant
0	Gas Station
0	Gas Station
0	Gas Station
5	Travel
4	Retail
3	Restaurant
2	Online Shopping
5	Travel
3	Restaurant
1	Groceries
4	Retail
2	Online Shopping
1	Groceries
4	Retail
5	Travel
4	Retail
5	Travel
5	Travel
3	Restaurant
2	Online Shopping
1	Groceries
4	Retail
4	Retail
0	Gas Station
5	Travel
2	Online Shopping
5	Travel
2	Online Shopping
4	Retail
5	Travel
4	Retail
0	Gas Station
0	Gas Station
2	Online Shopping
0	Gas Station
1	Groceries
3	Restaurant
4	Retail
5	Travel
3	Restaurant
3	Restaurant
3	Restaurant
3	Restaurant
0	Gas Station
1	Groceries
4	Retail
0	Gas Station
4	Retail
1	Groceries
4	Retail
1	Groceries
3	Restaurant
3	Restaurant
2	Online Shopping
4	Retail
0	Gas Station
0	Gas Station
2	Online Shopping
1	Groceries
3	Restaurant
4	Retail
1	Groceries
3	Restaurant
5	Travel
4	Retail
3	Restaurant
3	Restaurant
5	Travel
4	Retail
2	Online Shopping
2	Online Shopping
3	Restaurant
2	Online Shopping
4	Retail
5	Travel
0	Gas Station
5	Travel
2	Online Shopping
5	Travel
1	Groceries
5	Travel
0	Gas Station
3	Restaurant
1	Groceries
2	Online Shopping
0	Gas Station
5	Travel
4	Retail
1	Groceries
4	Retail
3	Restaurant
3	Restaurant
1	Groceries
0	Gas Station
3	Restaurant
0	Gas Station
5	Travel
4	Retail
2	Online Shopping
1	Groceries
4	Retail
2	Online Shopping
0	Gas Station
3	Restaurant
5	Travel
3	Restaurant
5	Travel
0	Gas Station
3	Restaurant
3	Restaurant
0	Gas Station
3	Restaurant
4	Retail
1	Groceries
1	Groceries
1	Groceries
2	Online Shopping
5	Travel
2	Online Shopping
2	Online Shopping
5	Travel
4	Retail
1	Groceries
4	Retail
0	Gas Station
4	Retail
2	Online Shopping
2	Online Shopping
2	Online Shopping
1	Groceries
3	Restaurant
1	Groceries
2	Online Shopping
0	Gas Station
1	Groceries
5	Travel
5	Travel
3	Restaurant
3	Restaurant
3	Restaurant
3	Restaurant
4	Retail
5	Travel
0	Gas Station
4	Retail
2	Online Shopping
2	Online Shopping
2	Online Shopping
3	Restaurant
5	Travel
1	Groceries
4	Retail
5	Travel
4	Retail
0	Gas Station
1	Groceries
4	Retail
2	Online Shopping
1	Groceries
5	Travel
3	Restaurant
3	Restaurant
1	Groceries
5	Travel
2	Online Shopping
4	Retail
4	Retail
5	Travel
5	Travel
0	Gas Station
3	Restaurant
1	Groceries
3	Restaurant
2	Online Shopping
5	Travel
3	Restaurant
3	Restaurant
1	Groceries
1	Groceries
2	Online Shopping
1	Groceries
3	Restaurant
1	Groceries
5	Travel
3	Restaurant
0	Gas Station
2	Online Shopping
1	Groceries
3	Restaurant
0	Gas Station
2	Online Shopping
0	Gas Station
0	Gas Station
0	Gas Station
5	Travel
5	Travel
5	Travel
1	Groceries
1	Groceries
1	Groceries
3	Restaurant
1	Groceries
3	Restaurant
4	Retail
1	Groceries
1	Groceries
2	Online Shopping
2	Online Shopping
3	Restaurant
5	Travel
2	Online Shopping
5	Travel
0	Gas Station
4	Retail
1	Groceries
1	Groceries
0	Gas Station
3	Restaurant
2	Online Shopping
4	Retail
1	Groceries
2	Online Shopping
4	Retail
3	Restaurant
0	Gas Station
2	Online Shopping
5	Travel
5	Travel
2	Online Shopping
5	Travel
3	Restaurant
1	Groceries
1	Groceries
1	Groceries
4	Retail
5	Travel
5	Travel
5	Travel
1	Groceries
5	Travel
4	Retail
4	Retail
5	Travel
3	Restaurant
4	Retail
5	Travel
1	Groceries
1	Groceries
5	Travel
3	Restaurant
1	Groceries
4	Retail
1	Groceries
1	Groceries
5	Travel
0	Gas Station
2	Online Shopping
5	Travel
1	Groceries
0	Gas Station
3	Restaurant
3	Restaurant
1	Groceries
3	Restaurant
4	Retail
4	Retail
1	Groceries
4	Retail
3	Restaurant
5	Travel
5	Travel
2	Online Shopping
1	Groceries
0	Gas Station
1	Groceries
2	Online Shopping
2	Online Shopping
2	Online Shopping
0	Gas Station
3	Restaurant
5	Travel
1	Groceries
2	Online Shopping
3	Restaurant
0	Gas Station
2	Online Shopping
5	Travel
0	Gas Station
3	Restaurant
0	Gas Station
4	Retail
0	Gas Station
0	Gas Station
2	Online Shopping
0	Gas Station
5	Travel
3	Restaurant
5	Travel
4	Retail
1	Groceries
5	Travel
5	Travel
3	Restaurant
3	Restaurant
3	Restaurant
5	Travel
3	Restaurant
1	Groceries
5	Travel
1	Groceries
0	Gas Station
2	Online Shopping
2	Online Shopping
2	Online Shopping
1	Groceries
2	Online Shopping
3	Restaurant
0	Gas Station
3	Restaurant
1	Groceries
0	Gas Station
1	Groceries
4	Retail
0	Gas Station
5	Travel
0	Gas Station
0	Gas Station
5	Travel
2	Online Shopping
4	Retail
2	Online Shopping
2	Online Shopping
2	Online Shopping
1	Groceries
1	Groceries
3	Restaurant
1	Groceries
0	Gas Station
4	Retail
0	Gas Station
4	Retail
4	Retail
3	Restaurant
3	Restaurant
5	Travel
4	Retail
2	Online Shopping
0	Gas Station
1	Groceries
3	Restaurant
0	Gas Station
2	Online Shopping
2	Online Shopping
4	Retail
3	Restaurant
5	Travel
3	Restaurant
5	Travel
0	Gas Station
4	Retail
4	Retail
5	Travel
5	Travel
3	Restaurant
4	Retail
2	Online Shopping
3	Restaurant
5	Travel
3	Restaurant
2	Online Shopping
2	Online Shopping
3	Restaurant
4	Retail
1	Groceries
2	Online Shopping
2	Online Shopping
5	Travel
5	Travel
5	Travel
5	Travel
3	Restaurant
0	Gas Station
4	Retail
2	Online Shopping
3	Restaurant
1	Groceries
3	Restaurant
4	Retail
1	Groceries
0	Gas Station
1	Groceries
3	Restaurant
3	Restaurant
2	Online Shopping
1	Groceries
0	Gas Station
1	Groceries
1	Groceries
3	Restaurant
5	Travel
0	Gas Station
3	Restaurant
2	Online Shopping
3	Restaurant
4	Retail
3	Restaurant
5	Travel
0	Gas Station
1	Groceries
1	Groceries
5	Travel
1	Groceries
4	Retail
0	Gas Station
3	Restaurant
2	Online Shopping
2	Online Shopping
4	Retail
3	Restaurant
0	Gas Station
2	Online Shopping
2	Online Shopping
2	Online Shopping
5	Travel
3	Restaurant
5	Travel
2	Online Shopping
4	Retail
1	Groceries
3	Restaurant
0	Gas Station
0	Gas Station
5	Travel
1	Groceries
1	Groceries
3	Restaurant
3	Restaurant
4	Retail
3	Restaurant
2	Online Shopping
2	Online Shopping
0	Gas Station
2	Online Shopping
0	Gas Station
5	Travel
5	Travel
1	Groceries
0	Gas Station
0	Gas Station
1	Groceries
3	Restaurant
5	Travel
1	Groceries
0	Gas Station
4	Retail
3	Restaurant
5	Travel
0	Gas Station
1	Groceries
2	Online Shopping
1	Groceries
3	Restaurant
5	Travel
5	Travel
5	Travel
1	Groceries
0	Gas Station
4	Retail
0	Gas Station
1	Groceries
4	Retail
5	Travel
4	Retail
5	Travel
2	Online Shopping
5	Travel
5	Travel
0	Gas Station
2	Online Shopping
2	Online Shopping
5	Travel
3	Restaurant
3	Restaurant
2	Online Shopping
0	Gas Station
2	Online Shopping
0	Gas Station
2	Online Shopping
1	Groceries
1	Groceries
4	Retail
2	Online Shopping
4	Retail
0	Gas Station
4	Retail
4	Retail
2	Online Shopping
0	Gas Station
3	Restaurant
3	Restaurant
4	Retail
5	Travel
0	Gas Station
1	Groceries
2	Online Shopping
0	Gas Station
2	Online Shopping
5	Travel
4	Retail
0	Gas Station
5	Travel
2	Online Shopping
5	Travel
4	Retail
5	Travel
4	Retail
3	Restaurant
1	Groceries
5	Travel
0	Gas Station
0	Gas Station
5	Travel
2	Online Shopping
3	Restaurant
4	Retail
3	Restaurant
3	Restaurant
4	Retail
0	Gas Station
4	Retail
0	Gas Station
0	Gas Station
0	Gas Station
3	Restaurant
5	Travel
5	Travel
0	Gas Station
0	Gas Station
5	Travel
3	Restaurant
5	Travel
4	Retail
4	Retail
2	Online Shopping
3	Restaurant
1	Groceries
2	Online Shopping
4	Retail
3	Restaurant
1	Groceries
1	Groceries
2	Online Shopping
3	Restaurant
4	Retail
3	Restaurant
3	Restaurant
4	Retail
1	Groceries
1	Groceries
0	Gas Station
5	Travel
3	Restaurant
0	Gas Station
0	Gas Station
5	Travel
1	Groceries
5	Travel
2	Online Shopping
4	Retail
0	Gas Station
4	Retail
4	Retail
5	Travel
1	Groceries
3	Restaurant
2	Online Shopping
5	Travel
3	Restaurant
1	Groceries
4	Retail
0	Gas Station
0	Gas Station
4	Retail
4	Retail
4	Retail
3	Restaurant
5	Travel
0	Gas Station
1	Groceries
3	Restaurant
2	Online Shopping
4	Retail
4	Retail
1	Groceries
0	Gas Station
5	Travel
3	Restaurant
3	Restaurant
5	Travel
5	Travel
0	Gas Station
0	Gas Station
5	Travel
5	Travel
2	Online Shopping
1	Groceries
2	Online Shopping
1	Groceries
4	Retail
5	Travel
3	Restaurant
4	Retail
0	Gas Station
4	Retail
4	Retail
0	Gas Station
2	Online Shopping
2	Online Shopping
2	Online Shopping
4	Retail
3	Restaurant
5	Travel
1	Groceries
5	Travel
0	Gas Station
3	Restaurant
5	Travel
2	Online Shopping
0	Gas Station
4	Retail
1	Groceries
3	Restaurant
3	Restaurant
5	Travel
4	Retail
2	Online Shopping
3	Restaurant
1	Groceries
5	Travel
5	Travel
0	Gas Station
1	Groceries
1	Groceries
3	Restaurant
0	Gas Station
0	Gas Station
3	Restaurant
0	Gas Station
0	Gas Station
2	Online Shopping
2	Online Shopping
0	Gas Station
5	Travel
4	Retail
0	Gas Station
5	Travel
2	Online Shopping
3	Restaurant
0	Gas Station
5	Travel
3	Restaurant
4	Retail
1	Groceries
4	Retail
1	Groceries
1	Groceries
3	Restaurant
0	Gas Station
2	Online Shopping
4	Retail
3	Restaurant
0	Gas Station
5	Travel
1	Groceries
2	Online Shopping
4	Retail
5	Travel
2	Online Shopping
1	Groceries
2	Online Shopping
1	Groceries
1	Groceries
3	Restaurant
1	Groceries
2	Online Shopping
3	Restaurant
5	Travel
1	Groceries
2	Online Shopping
4	Retail
